last_name,fisa_courts_reform_act,s_1551_iosra,fisa_improvements_act,fisa_transparency_and_modernization_act,surveillance_state_repeal_act,usa_freedom_prior_to_2014-05-18,voted_for_conyers_amash_amendment,voted_for_house_version_of_usa_freedom_act_2014,voted_for_massie_lofgren_amendment_2014,whistleblower_protection_for_ic_employees_contractors,1st_usaf_cloture_vote,straight_reauth,fisa_reform_act,amendment_1449_data_retention,amendment_1450_extend_implementation_to_1yr,amendment_1451_gut_amicus,final_passage_usaf,702_reforms,massie_lofgren_amendment_to_hr2685_defund_702,massie_lofgren_amendment_to_hr4870_no_backdoors
Grassley,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Graves,,,,,,,,,,,,,,,,,GOOD,,GOOD,GOOD
Graves,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Graves,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,
Grayson,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Green,,,,,,,,X,X,,,,,,,,GOOD,,GOOD,GOOD
Green,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Griffith,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Grijalva,,,,,X,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Grothman,,,,,,,,,,,,,,,,,OK,,GOOD,
Guinta,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Guthrie,,,,,,,,,,,,,,,,,OK,,GOOD,GOOD
Gutiérrez,,,,,,,,,X,,,,,,,,OK,,GOOD,GOOD
Hahn,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Hanna,,,,,,,,,X,,,,,,,,GOOD,,BAD,GOOD
Hardy,,,,,,,,,,,,,,,,,OK,,BAD,
Harper,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Harris,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Hartzler,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Hastings,,,,,,,X,,X,,,,,,,,GOOD,,BAD,GOOD
Hatch,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Heck,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Heck,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Heinrich,X,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Heitkamp,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Heller,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Hensarling,,,,,,,,X,X,,,,,,,,OK,X,GOOD,GOOD
Herrera Beutler,,,,,,X,,X,X,,,,,,,,GOOD,,GOOD,GOOD
Hice,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Higgins,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Hill,,,,,,,,,,,,,,,,,OK,,BAD,
Himes,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Hinojosa,,,,,,,,,,,,,,,,,OK,,GOOD,BAD
Hirono,X,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Hoeven,,,,,,,,,,,OK,BAD,,BAD,BAD,BAD,OK,,,
Holding,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Honda,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Hoyer,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Hudson,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Huelskamp,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Huffman,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Huizenga,,,,,,,X,X,X,,,,,,,,OK,,BAD,GOOD
Hultgren,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Hunter,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Hurd,,,,,,,,,,,,,,,,,OK,,BAD,
Hurt,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Inhofe,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Isakson,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Israel,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Issa,,,,,,X,,,X,,,,,,,,OK,X,GOOD,GOOD
Jackson Lee,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Jeffries,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
Jenkins,,,,,,,,,,,,,,,,,OK,,GOOD,
Jenkins,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Johnson,,,,,,,X,X,,,,,,,,,OK,,BAD,BAD
Johnson,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Johnson,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Johnson,,,,,,,,,,,OK,BAD,,BAD,BAD,BAD,OK,,,
Johnson,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Jolly,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Jones,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Jordan,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Joyce,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Kaine,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Kaptur,,,,,,,,,X,,,,,,,,OK,,,GOOD
Katko,,,,,,,,,,,,,,,,,OK,,BAD,
Keating,,,,,,X,X,,X,,,,,,,,OK,,BAD,GOOD
Kelly,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Kelly,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Kelly,,,,,,,,,,,,,,,,,OK,,GOOD,
Kennedy,,,,,,X,,X,,,,,,,,,OK,,BAD,BAD
Kildee,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Kilmer,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Kind,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
King,,,,,,,,,,,BAD,GOOD,X,BAD,GOOD,BAD,OK,,,
King,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
King,,,,,,,,,X,,,,,,,,GOOD,,BAD,GOOD
Kinzinger,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Kirk,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Kirkpatrick,,,,,,,,X,,,,,,,,,OK,,GOOD,
Kline,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Klobuchar,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Knight,,,,,,,,,,,,,,,,,OK,,BAD,
Kuster,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Labrador,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
LaMalfa,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Lamborn,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Lance,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Langevin,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Lankford,,,,,,,,X,,,OK,BAD,,GOOD,GOOD,GOOD,OK,,,
Larsen,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Larson,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Latta,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Lawrence,,,,,,,,,,,,,,,,,OK,,GOOD,
